season,mechanism,alpha,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_entropy,tpi_mean,fan_influence_rate,robust_fail_rate,outlier_mult
3,percent_cap,0.5,50,2,Emmitt Smith,Mario Lopez,0.6,0.9181594479940363,0.5,0.4,0.56,10.0
4,percent,0.5,50,3,Apolo Anton Ohno,Joey Fatone,0.46,1.0549303149683658,0.45,0.78,0.94,10.0
4,rank,0.5,50,3,Apolo Anton Ohno,Apolo Anton Ohno,0.74,0.5730569171314204,0.87,0.26,0.32,10.0
4,percent_judge_save,0.5,50,3,Apolo Anton Ohno,Apolo Anton Ohno,0.4,1.0875656525975472,0.56,0.6,0.96,10.0
4,percent_sqrt,0.5,50,3,Apolo Anton Ohno,Joey Fatone,0.34,1.1742736862155725,0.5,0.68,0.8,10.0
4,percent_log,0.5,50,3,Apolo Anton Ohno,Joey Fatone,0.44,1.1159300691873482,0.40816326530612246,0.82,0.84,10.0
4,dynamic_weight,0.5,50,3,Apolo Anton Ohno,Joey Fatone,0.4,1.0768186672148103,0.44,0.76,0.82,10.0
4,percent_cap,0.5,50,3,Apolo Anton Ohno,Apolo Anton Ohno,0.42,1.1968050380821276,0.5625,0.58,0.84,10.0
5,percent,0.5,50,3,Mel B,Helio Castroneves,0.44,1.1281547703725645,0.5714285714285714,0.66,0.76,10.0
5,rank,0.5,50,3,Mel B,Helio Castroneves,0.58,0.6802920001921535,0.71,0.58,0.48,10.0
5,percent_judge_save,0.5,50,3,Mel B,Mel B,0.56,0.9717923938613271,0.7448979591836735,0.44,0.62,10.0
5,percent_sqrt,0.5,50,3,Mel B,Mel B,0.44,1.1509939592166962,0.6458333333333334,0.56,0.8,10.0
5,percent_log,0.5,50,3,Mel B,Mel B,0.38,1.2861084128518383,0.5425531914893617,0.62,0.94,10.0
5,dynamic_weight,0.5,50,3,Mel B,Helio Castroneves,0.42,1.1189363455805417,0.6020408163265306,0.62,0.92,10.0
5,percent_cap,0.5,50,3,Mel B,Mel B,0.42,1.0652527887260477,0.6,0.58,0.86,10.0
6,percent,0.5,50,3,Kristi Yamaguchi,Kristi Yamaguchi,0.44,1.146141440718215,0.5918367346938775,0.56,0.78,10.0
6,rank,0.5,50,3,Kristi Yamaguchi,Kristi Yamaguchi,0.72,0.7077858865682289,0.84,0.28,0.32,10.0
6,percent_judge_save,0.5,50,3,Kristi Yamaguchi,Kristi Yamaguchi,0.52,1.018359734765894,0.66,0.48,0.56,10.0
6,percent_sqrt,0.5,50,3,Kristi Yamaguchi,Kristi Yamaguchi,0.44,1.146141440718215,0.5918367346938775,0.56,0.94,10.0
6,percent_log,0.5,50,3,Kristi Yamaguchi,Cristian de la Fuente,0.38,1.4434855193697913,0.4431818181818182,0.72,0.92,10.0
6,dynamic_weight,0.5,50,3,Kristi Yamaguchi,Kristi Yamaguchi,0.36,1.0957815752757503,0.51,0.64,0.76,10.0
6,percent_cap,0.5,50,3,Kristi Yamaguchi,Kristi Yamaguchi,0.4,1.2772115525043686,0.5851063829787234,0.6,0.82,10.0
7,percent,0.5,50,3,Brooke Burke,Brooke Burke,0.5,1.1098299010958055,0.6326530612244898,0.5,0.76,10.0
7,rank,0.5,50,3,Brooke Burke,Brooke Burke,0.88,0.44330669146808716,0.91,0.12,0.24,10.0
7,percent_judge_save,0.5,50,3,Brooke Burke,Brooke Burke,0.48,1.0466051465148276,0.61,0.52,0.84,10.0
7,percent_sqrt,0.5,50,3,Brooke Burke,Lance Bass,0.38,1.0909076040735128,0.46,0.72,0.94,10.0
7,percent_log,0.5,50,3,Brooke Burke,Brooke Burke,0.46,1.1297436457544325,0.6020408163265306,0.54,0.92,10.0
7,dynamic_weight,0.5,50,3,Brooke Burke,Warren Sapp,0.38,1.1973395132642402,0.53125,0.64,0.82,10.0
7,percent_cap,0.5,50,3,Brooke Burke,Brooke Burke,0.34,1.3231435982007125,0.5271739130434783,0.66,0.78,10.0
8,percent,0.5,50,3,Shawn Johnson,Gilles Marini,0.42,1.1322727301428799,0.5816326530612245,0.64,0.88,10.0
