season,week,nactive,nexit,essratio,evidence
26,3,6,3,0.1643000172444634,0.0698493892184914
21,9,6,2,0.2126391667805408,0.0629074285791396
22,9,5,2,0.216814295616698,0.1001369423789576
15,9,5,2,0.2181609766649559,0.1036794154249104
27,8,6,2,0.2201654009783556,0.0689619630250446
29,10,6,2,0.2254477377992752,0.0658931266092884
14,8,6,2,0.2320067358401263,0.066416431087082
30,9,6,2,0.2376184873872231,0.0733258189356903
24,7,7,2,0.2455872034903466,0.049935564570914
3,5,7,2,0.2550023498638782,0.0508044374588323
27,7,8,2,0.2631956209804651,0.0373117552951488
31,9,6,2,0.2635884804075933,0.0918102089062249
