model_name,seed,champion_mode_prob_cv_r2_mean,champion_mode_prob_cv_r2_std,champion_mode_prob_train_r2,champion_mode_prob_train_rmse,robustness_score_cv_r2_mean,robustness_score_cv_r2_std,robustness_score_train_r2,robustness_score_train_rmse,tpi_season_avg_cv_r2_mean,tpi_season_avg_cv_r2_std,tpi_season_avg_train_r2,tpi_season_avg_train_rmse,robust_fail_rate_cv_r2_mean,robust_fail_rate_cv_r2_std,robust_fail_rate_train_r2,robust_fail_rate_train_rmse
multi_objective_optimizer,20260130,-0.005970594468002521,0.12040984635010034,0.3300910213222785,0.13799909796270968,-0.05922331073675333,0.07604687021677216,0.18405907501926566,0.22444511233905762,0.09319047606796671,0.17623510050150726,0.31002763801276256,0.06946853888188617,,,,
robustness_predictor,20260130,,,,,,,,,,,,,1.0,0.0,1.0,9.587303179733434e-16
