season_test,model,epoch,train_loss,val_loss,lr
1,pytorch_deep_resnet,0,5.977983442636637,0.0,0.001
1,pytorch_deep_resnet,1,1.071763242666538,0.0,0.001
1,pytorch_deep_resnet,2,0.762051828778707,0.0,0.001
1,pytorch_deep_resnet,3,0.6779075689040698,0.0,0.001
1,pytorch_deep_resnet,4,0.6361542023145236,0.0,0.001
1,pytorch_deep_resnet,5,0.4992108413806328,0.0,0.001
1,pytorch_deep_resnet,6,0.4615877540065692,0.0,0.001
1,pytorch_deep_resnet,7,0.4733862257920779,0.0,0.001
1,pytorch_deep_resnet,8,0.3933014130363098,0.0,0.001
1,pytorch_deep_resnet,9,0.4032520600236379,0.0,0.001
1,pytorch_deep_resnet,10,0.36983154943356145,0.0,0.001
1,pytorch_deep_resnet,11,0.391839854992353,0.0,0.001
1,pytorch_deep_resnet,12,0.2874123167533141,0.0,0.001
1,pytorch_deep_resnet,13,0.343498625434362,0.0,0.001
1,pytorch_deep_resnet,14,0.3185113708560283,0.0,0.001
1,pytorch_deep_resnet,15,0.3114051497899569,0.0,0.001
1,pytorch_deep_resnet,16,0.32521075640733427,0.0,0.001
1,pytorch_deep_resnet,17,0.31025953132372636,0.0,0.001
1,pytorch_deep_resnet,18,0.29859392115703,0.0,0.001
1,pytorch_deep_resnet,19,0.2857050540355536,0.0,0.001
1,pytorch_deep_resnet,20,0.2832924035879282,0.0,0.001
1,pytorch_deep_resnet,21,0.26639030845119405,0.0,0.001
1,pytorch_deep_resnet,22,0.2999253763029209,0.0,0.001
1,pytorch_deep_resnet,23,0.33283751285993135,0.0,0.001
1,pytorch_deep_resnet,24,0.27211074703014815,0.0,0.001
1,pytorch_deep_resnet,25,0.2905667323905688,0.0,0.001
1,pytorch_deep_resnet,26,0.27894377078001314,0.0,0.001
1,pytorch_deep_resnet,27,0.2564694285392761,0.0,0.001
1,pytorch_deep_resnet,28,0.26384042318050677,0.0,0.001
1,pytorch_deep_resnet,29,0.22441090127596489,0.0,0.001
1,pytorch_deep_resnet,30,0.24272255785763264,0.0,0.001
1,pytorch_deep_resnet,31,0.25355604749459487,0.0,0.001
1,pytorch_deep_resnet,32,0.2635376126720355,0.0,0.001
1,pytorch_deep_resnet,33,0.2410311165910501,0.0,0.001
1,pytorch_deep_resnet,34,0.241924573882268,0.0,0.001
1,pytorch_deep_resnet,35,0.21742262032169563,0.0,0.001
1,pytorch_deep_resnet,36,0.2439821631862567,0.0,0.001
1,pytorch_deep_resnet,37,0.22303519369317934,0.0,0.001
1,pytorch_deep_resnet,38,0.22631539519016558,0.0,0.001
1,pytorch_deep_resnet,39,0.23450317004552254,0.0,0.001
1,pytorch_deep_resnet,40,0.24617362996706596,0.0,0.001
1,pytorch_deep_resnet,41,0.21429330826951906,0.0,0.001
1,pytorch_deep_resnet,42,0.19905145451999628,0.0,0.001
1,pytorch_deep_resnet,43,0.20024718745396689,0.0,0.001
1,pytorch_deep_resnet,44,0.20996960940269324,0.0,0.001
1,pytorch_deep_resnet,45,0.21483416396837968,0.0,0.001
1,pytorch_deep_resnet,46,0.17305561584921983,0.0,0.001
1,pytorch_deep_resnet,47,0.2142082667694642,0.0,0.001
1,pytorch_deep_resnet,48,0.17126274280823195,0.0,0.001
1,pytorch_deep_resnet,49,0.18138227210595056,0.0,0.001
1,pytorch_deep_resnet,50,0.19795516677773917,0.0,0.001
1,pytorch_deep_resnet,51,0.17329595481547025,0.0,0.001
1,pytorch_deep_resnet,52,0.20608806896668214,0.0,0.001
1,pytorch_deep_resnet,53,0.1996623114324533,0.0,0.001
1,pytorch_deep_resnet,54,0.17429252771230844,0.0,0.001
1,pytorch_deep_resnet,55,0.19983299492070308,0.0,0.001
