seed,alpha,tau,prior_draws_m,posterior_resample_r,mechanism,n_weeks,ess_ratio_mean,ess_ratio_min,ess_ratio_p10,ess_ratio_lt_0p1,evidence_mean,evidence_p10
20260130,0.3,0.01,1000,300,percent,335,0.4019967165230772,0.0455412211102132,0.10544059281483364,0.08358208955223881,0.32031980185335907,0.07014622446811541
20260130,0.3,0.01,1000,300,rank,335,0.3488802392961425,0.0010000000000005,0.0260000000281405,0.1791044776119403,0.34744752946497587,0.018991969418148
20260130,0.3,0.01,1000,500,percent,335,0.4019967165230772,0.0455412211102132,0.10544059281483364,0.08358208955223881,0.32031980185335907,0.07014622446811541
20260130,0.3,0.01,1000,500,rank,335,0.3488802392961425,0.0010000000000005,0.0260000000281405,0.1791044776119403,0.34744752946497587,0.018991969418148
20260130,0.3,0.01,1000,800,percent,335,0.4019967165230772,0.0455412211102132,0.10544059281483364,0.08358208955223881,0.32031980185335907,0.07014622446811541
20260130,0.3,0.01,1000,800,rank,335,0.3488802392961425,0.0010000000000005,0.0260000000281405,0.1791044776119403,0.34744752946497587,0.018991969418148
20260130,0.3,0.01,2000,300,percent,335,0.40150911113295057,0.0376707025049535,0.10481607331549653,0.08955223880597014,0.31996796270859906,0.06936868422483972
20260130,0.3,0.01,2000,300,rank,335,0.3489484537508187,0.0015301447794388,0.027699846092247477,0.1791044776119403,0.3475198113016212,0.017453458318782242
20260130,0.3,0.01,2000,500,percent,335,0.40150911113295057,0.0376707025049535,0.10481607331549653,0.08955223880597014,0.31996796270859906,0.06936868422483972
20260130,0.3,0.01,2000,500,rank,335,0.3489484537508187,0.0015301447794388,0.027699846092247477,0.1791044776119403,0.3475198113016212,0.017453458318782242
20260130,0.3,0.01,2000,800,percent,335,0.40150911113295057,0.0376707025049535,0.10481607331549653,0.08955223880597014,0.31996796270859906,0.06936868422483972
20260130,0.3,0.01,2000,800,rank,335,0.3489484537508187,0.0015301447794388,0.027699846092247477,0.1791044776119403,0.3475198113016212,0.017453458318782242
20260130,0.3,0.01,5000,300,percent,335,0.4014474870006709,0.0390008537490554,0.10522967142490934,0.09253731343283582,0.3200355092685342,0.06947358936486854
20260130,0.3,0.01,5000,300,rank,335,0.3491098989683645,0.0018849479026447,0.02547985057118548,0.1761194029850746,0.34769353961606553,0.01665606756998924
20260130,0.3,0.01,5000,500,percent,335,0.4014474870006709,0.0390008537490554,0.10522967142490934,0.09253731343283582,0.3200355092685342,0.06947358936486854
20260130,0.3,0.01,5000,500,rank,335,0.3491098989683645,0.0018849479026447,0.02547985057118548,0.1761194029850746,0.34769353961606553,0.01665606756998924
20260130,0.3,0.01,5000,800,percent,335,0.4014474870006709,0.0390008537490554,0.10522967142490934,0.09253731343283582,0.3200355092685342,0.06947358936486854
20260130,0.3,0.01,5000,800,rank,335,0.3491098989683645,0.0018849479026447,0.02547985057118548,0.1761194029850746,0.34769353961606553,0.01665606756998924
20260130,0.3,0.02,1000,300,percent,335,0.4817838608963412,0.1014119021976134,0.21669792826115478,0.0,0.31480149620911274,0.0692626471995692
20260130,0.3,0.02,1000,300,rank,335,0.349960957412523,0.0010000000198163,0.03061960602771708,0.1791044776119403,0.34840497389094693,0.026788097337667578
20260130,0.3,0.02,1000,500,percent,335,0.4817838608963412,0.1014119021976134,0.21669792826115478,0.0,0.31480149620911274,0.0692626471995692
20260130,0.3,0.02,1000,500,rank,335,0.349960957412523,0.0010000000198163,0.03061960602771708,0.1791044776119403,0.34840497389094693,0.026788097337667578
20260130,0.3,0.02,1000,800,percent,335,0.4817838608963412,0.1014119021976134,0.21669792826115478,0.0,0.31480149620911274,0.0692626471995692
20260130,0.3,0.02,1000,800,rank,335,0.349960957412523,0.0010000000198163,0.03061960602771708,0.1791044776119403,0.34840497389094693,0.026788097337667578
20260130,0.3,0.02,2000,300,percent,335,0.48130685915412375,0.1025153849624512,0.2165762875656812,0.0,0.3145484169198614,0.06959038980570391
20260130,0.3,0.02,2000,300,rank,335,0.34999276467102713,0.0010831166204663,0.03260074511926186,0.1761194029850746,0.34846683399126493,0.02818933969751826
20260130,0.3,0.02,2000,500,percent,335,0.48130685915412375,0.1025153849624512,0.2165762875656812,0.0,0.3145484169198614,0.06959038980570391
20260130,0.3,0.02,2000,500,rank,335,0.34999276467102713,0.0010831166204663,0.03260074511926186,0.1761194029850746,0.34846683399126493,0.02818933969751826
20260130,0.3,0.02,2000,800,percent,335,0.48130685915412375,0.1025153849624512,0.2165762875656812,0.0,0.3145484169198614,0.06959038980570391
20260130,0.3,0.02,2000,800,rank,335,0.34999276467102713,0.0010831166204663,0.03260074511926186,0.1761194029850746,0.34846683399126493,0.02818933969751826
20260130,0.3,0.02,5000,300,percent,335,0.4812655909610543,0.0965478907925877,0.21135649223791644,0.0029850746268656717,0.3145563044574547,0.06941450020035793
20260130,0.3,0.02,5000,300,rank,335,0.35015532536969435,0.001606400354657,0.030627277175867596,0.17313432835820897,0.34862623560680484,0.02650933997767354
20260130,0.3,0.02,5000,500,percent,335,0.4812655909610543,0.0965478907925877,0.21135649223791644,0.0029850746268656717,0.3145563044574547,0.06941450020035793
20260130,0.3,0.02,5000,500,rank,335,0.35015532536969435,0.001606400354657,0.030627277175867596,0.17313432835820897,0.34862623560680484,0.02650933997767354
20260130,0.3,0.02,5000,800,percent,335,0.4812655909610543,0.0965478907925877,0.21135649223791644,0.0029850746268656717,0.3145563044574547,0.06941450020035793
20260130,0.3,0.02,5000,800,rank,335,0.35015532536969435,0.001606400354657,0.030627277175867596,0.17313432835820897,0.34862623560680484,0.02650933997767354
