season_test,model,n_train,n_test,roc_auc,average_precision,accuracy,brier,log_loss,prevalence
1,logreg,2741,26,0.6376811594202898,0.2192982456140351,0.8076923076923077,0.17711897115013375,0.5626061729304429,0.11538461538461539
1,mlp,2741,26,0.5217391304347826,0.1638888888888889,0.8846153846153846,0.13607775925767818,0.4500473297646242,0.11538461538461539
2,logreg,2715,52,0.8539682539682538,0.4678752924094539,0.75,0.18679470239186718,0.5697913530255884,0.1346153846153846
2,mlp,2715,52,0.44444444444444436,0.16334190883200184,0.8653846153846154,0.149677861249687,0.483764388218319,0.1346153846153846
3,logreg,2704,63,0.75,0.2743949028886917,0.7301587301587301,0.17474911264701712,0.5157072987798571,0.1111111111111111
3,mlp,2704,63,0.5127551020408163,0.12858137266802372,0.8888888888888888,0.1379102554645886,0.457353491212471,0.1111111111111111
4,logreg,2693,74,0.850378787878788,0.44222980371078197,0.7297297297297297,0.19166532235131145,0.5680783610288909,0.10810810810810811
4,mlp,2693,74,0.6799242424242424,0.47141687016687017,0.8918918918918919,0.13111101180384852,0.4423228439456683,0.10810810810810811
5,logreg,2692,75,0.7912457912457913,0.26495956779492336,0.72,0.20982428277390824,0.6676997521052482,0.12
5,mlp,2692,75,0.5286195286195287,0.15312173912865107,0.88,0.14326715168695456,0.4664372563659817,0.12
6,logreg,2691,76,0.900497512437811,0.5697910763700238,0.7368421052631579,0.16300960266892414,0.48203113476029175,0.11842105263157894
6,mlp,2691,76,0.4543946932006633,0.14400175445344307,0.881578947368421,0.14997504259783756,0.48518463692452873,0.11842105263157894
7,logreg,2693,74,0.8581196581196581,0.48365419635757556,0.7432432432432432,0.1604269567874284,0.4796166938041853,0.12162162162162163
7,mlp,2693,74,0.4666666666666667,0.16757798768668333,0.8783783783783784,0.14377207622125765,0.47126999227669614,0.12162162162162163
8,logreg,2676,91,0.854320987654321,0.3814687342369898,0.7472527472527473,0.17626950335236297,0.5199015446214135,0.10989010989010989
8,mlp,2676,91,0.5864197530864197,0.19939640263689418,0.8901098901098901,0.1281161248588397,0.43160274756824274,0.10989010989010989
9,logreg,2676,91,0.8554852320675106,0.3733582466733718,0.7802197802197802,0.1604878617497058,0.4731368212340943,0.13186813186813187
9,mlp,2676,91,0.48312236286919835,0.24452874438386368,0.8681318681318682,0.1518447386676771,0.4889821446357781,0.13186813186813187
10,logreg,2693,74,0.8560606060606061,0.5340490362811792,0.7027027027027027,0.19570756201109116,0.5696539375018711,0.10810810810810811
10,mlp,2693,74,0.6193181818181819,0.2725386364133167,0.8918918918918919,0.1355831101097833,0.45227170658462656,0.10810810810810811
11,logreg,2692,75,0.7878787878787878,0.3121657049081933,0.7066666666666667,0.19014817396804867,0.561141699102452,0.12
11,mlp,2692,75,0.4562289562289562,0.12094863664575053,0.8533333333333334,0.19929201046129344,0.5903783358377298,0.12
12,logreg,2693,74,0.8787878787878789,0.4435025146422205,0.7027027027027027,0.18639753893166722,0.5394182031508089,0.10810810810810811
12,mlp,2693,74,0.6837121212121212,0.29281068275633493,0.8918918918918919,0.19432095681203415,0.5802198763635655,0.10810810810810811
13,logreg,2692,75,0.8131313131313131,0.5067740507456819,0.7466666666666667,0.1645130339494901,0.48486746416820314,0.12
13,mlp,2692,75,0.6885521885521886,0.35845810000982414,0.88,0.1961568731464004,0.584213421357756,0.12
14,logreg,2685,82,0.8691019786910197,0.4550104844727271,0.7073170731707317,0.1681079557364521,0.4920669268292892,0.10975609756097561
14,mlp,2685,82,0.558599695585997,0.2746867379802562,0.8902439024390244,0.1369228840530645,0.4554276629564108,0.10975609756097561
15,logreg,2684,83,0.6767123287671233,0.24854585269211954,0.6746987951807228,0.20833729576560847,0.6012845910445551,0.12048192771084337
15,mlp,2684,83,0.5095890410958904,0.13091690289907607,0.8795180722891566,0.1402185798145919,0.4592353806988472,0.12048192771084337
16,logreg,2684,83,0.9633333333333334,0.8267045454545454,0.7590361445783133,0.15033793493404618,0.44358694795954867,0.0963855421686747
16,mlp,2684,83,0.5566666666666666,0.1252861130957106,0.9036144578313253,0.13231042814648453,0.4435158342861963,0.0963855421686747
17,logreg,2675,92,0.7724230254350737,0.23657564562935407,0.717391304347826,0.19587155682235685,0.580126130526173,0.09782608695652174
17,mlp,2675,92,0.428380187416332,0.1408842432322416,0.9021739130434783,0.14615050549498018,0.4778878279777474,0.09782608695652174
18,logreg,2688,79,0.7588028169014085,0.21505953551989357,0.6962025316455697,0.1905908652590526,0.5519877613157453,0.10126582278481013
18,mlp,2688,79,0.5845070422535211,0.41775447177232894,0.8987341772151899,0.14432497365542188,0.4735669457566301,0.10126582278481013
19,logreg,2673,94,0.805952380952381,0.34858851674641145,0.7127659574468085,0.19053679718999228,0.5572091744878971,0.10638297872340426
19,mlp,2673,94,0.6595238095238095,0.25300072231578463,0.8829787234042553,0.1763534957550797,0.5427261514942887,0.10638297872340426
20,logreg,2685,82,0.7214611872146118,0.38817165711231966,0.6829268292682927,0.200958789519257,0.5740032692914634,0.10975609756097561
20,mlp,2685,82,0.6133942161339422,0.2193756089075876,0.8902439024390244,0.12491509101355061,0.4253886363502534,0.10975609756097561
21,logreg,2676,91,0.7530120481927711,0.3838077844774273,0.6483516483516484,0.19664791368684498,0.5646480737419678,0.08791208791208792
21,mlp,2676,91,0.39006024096385544,0.08074797983456705,0.9120879120879121,0.13053018579001135,0.4404855430968931,0.08791208791208792
22,logreg,2682,85,0.8347953216374269,0.4054803619319748,0.7058823529411765,0.17771562886743683,0.5092598154569794,0.10588235294117647
22,mlp,2682,85,0.510233918128655,0.19284309984507134,0.8823529411764706,0.19507032246472011,0.5821082809721548,0.10588235294117647
23,logreg,2670,97,0.8413793103448276,0.5124985081751999,0.711340206185567,0.17751566139574768,0.5057323009582539,0.10309278350515463
