outcome,model,term,estimate,ci_low,ci_high,std_err,p_value,n_obs,n_refits,note
fan_vote_index_mean,ols,C(industry)[T.Racing Driver],0.15200770778544864,-0.3451158512398991,0.7065702076752475,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Radio Personality],-0.4727708620683599,-1.0182043332601407,0.16696943792232263,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Singer/Rapper],-0.057658481976235944,-0.20625682101683482,0.08829860827758923,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Social Media Personality],-0.045131835621216934,-0.3559647024939793,0.23381278029381394,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Social media personality],0.1266178415461577,-0.27797127759932355,0.5444959739620693,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Sports Broadcaster],0.34877159366601396,-0.5394557331652853,1.1193514308362837,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.TV Personality],-0.02637634100582796,-0.14455052210378908,0.162313111603688,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,Intercept,-1.0481734920165264,-1.8273233955227373,-0.36689530446862095,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,age,-0.022375784277154913,-0.04420425458463041,-0.004446647033770835,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,age_sq,0.00013555883177160513,-9.009585132592016e-05,0.00040115380066765524,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,is_us,1.067643122825266,0.11889834615585376,1.9069102026467168,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,log_state_pop,-0.06430547480438555,-0.11663770846608267,-0.0056448850948842425,,,421,200,fan_line_posterior_refit
